"long","lat","country"
113.7266,34.7725,CN
118.0819,24.4798,CN
121.1494,30.05,CN
107.5167,26.2667,CN
113.7266,34.7725,CN
120.8747,32.0303,CN
126.65,45.75,CN
113.7266,34.7725,CN
102.7183,25.0389,CN
120.3095,32.8523,CN
126.65,45.75,CN
121.6022,38.9122,CN
113.5325,34.6836,CN
113.7266,34.7725,CN
118.7778,32.0617,CN
113.5325,34.6836,CN
113.1117,28.1783,CN
118.2881,25.1394,CN
106.2731,38.4681,CN
120.1619,30.294,CN
113.7266,34.7725,CN
101.7667,36.6167,CN
113.7266,34.7725,CN
113.7266,34.7725,CN
118.7778,32.0617,CN
113.7266,34.7725,CN
113.1117,28.1783,CN
113.7266,34.7725,CN
109.8222,40.6522,CN
117.2865,31.8642,CN
110.2864,25.2819,CN
113.7266,34.7725,CN
114.1333,22.5333,CN
113.25,23.1167,CN
108.3146,22.8137,CN
114.7014,37.3325,CN
126.65,45.75,CN
106.5531,29.5569,CN
125.3228,43.88,CN
121.4331,28.6627,CN
109.8222,40.6522,CN
113.25,23.1167,CN
114.2665,30.5856,CN
125.3228,43.88,CN
113.7266,34.7725,CN
87.6005,43.801,CN
121.4331,28.6627,CN
102.7183,25.0389,CN
113.7266,34.7725,CN
104.0667,30.6667,CN
118.7778,32.0617,CN
119.9103,28.4604,CN
120.1619,30.294,CN
126.65,45.75,CN
113.7266,34.7725,CN
113.0442,36.0458,CN
114.8731,39.0728,CN
120.8747,32.0303,CN
103.7922,36.0564,CN
120.2875,31.5707,CN
120.1619,30.294,CN
121.4012,31.0449,CN
116.3883,39.9289,CN
113.5325,34.6836,CN
113.7266,34.7725,CN
113.7266,34.7725,CN
120.1619,30.294,CN
113.7266,34.7725,CN
119.5883,39.9317,CN
106.7167,26.5833,CN
120.3719,36.0986,CN
120.3719,36.0986,CN
109.8222,40.6522,CN
125.3228,43.88,CN
115.9333,28.55,CN
113.7266,34.7725,CN
120.3719,36.0986,CN
120.1573,33.3575,CN
113.25,23.1167,CN
118.2978,32.3219,CN
112.7333,38.4092,CN
108.3146,22.8137,CN
113.7174,23.0308,CN
121.5495,29.8782,CN
113.5325,34.6836,CN
115.9333,28.55,CN
112.4708,37.7269,CN
118.25,36.3333,CN
114.1333,22.5333,CN
125.3228,43.88,CN
106.5531,29.5569,CN
120.6666,27.9983,CN
113.7266,34.7725,CN
119.4551,32.2109,CN
113.0697,23.0312,CN
109.8222,40.6522,CN
118.5741,24.8198,CN
117.2865,31.8642,CN
120.1619,30.294,CN
117.2865,31.8642,CN
102.313,24.2267,CN
117.2865,31.8642,CN
113.5325,34.6836,CN
126.65,45.75,CN
102.7183,25.0389,CN
126.65,45.75,CN
103.7639,29.5623,CN
111.6522,40.8106,CN
113.7266,34.7725,CN
113.7266,34.7725,CN
103.7922,36.0564,CN
114.4,23.0833,CN
121.4012,31.0449,CN
118.0819,24.4798,CN
114.1925,35.8992,CN
120.3719,36.0986,CN
109.9592,27.5494,CN
121.4,37.5333,CN
120.3719,36.0986,CN
123.4312,41.7806,CN
121.5495,29.8782,CN
120.3719,36.0986,CN
113.0697,23.0312,CN
118.7778,32.0617,CN
104.0667,30.6667,CN
113.7266,34.7725,CN
113.0833,22.5833,CN
113.25,23.1167,CN
113.7266,34.7725,CN
117.1571,34.1805,CN
108.6261,21.973,CN
113.25,23.1167,CN
114.1333,22.5333,CN
108.9294,34.2598,CN
117.2865,31.8642,CN
113.5325,34.6836,CN
109.8222,40.6522,CN
123.4312,41.7806,CN
125.3228,43.88,CN
114.6333,33.6333,CN
113.7266,34.7725,CN
113.25,23.1167,CN
106.2731,38.4681,CN
114.4186,34.7442,CN
113.7266,34.7725,CN
104.6481,30.1211,CN
113.152,27.7029,CN
120.75,30.7522,CN
121.4,37.5333,CN
113.7266,34.7725,CN
108.9294,34.2598,CN
123.4312,41.7806,CN
113.7266,34.7725,CN
114.1333,22.5333,CN
113.7266,34.7725,CN
106.7167,26.5833,CN
121.4,37.5333,CN
109.9592,27.5494,CN
120.1619,30.294,CN
113.7266,34.7725,CN
104.0667,30.6667,CN
120.3694,36.066,CN
114.4186,34.7442,CN
113.7266,34.7725,CN
108.3146,22.8137,CN
121.5276,31.2351,CN
113.7266,34.7725,CN
120.3719,36.0986,CN
120.3694,36.066,CN
113.7266,34.7725,CN
125.3228,43.88,CN
119.6442,29.1068,CN
113.25,23.1167,CN
118.4917,37.4627,CN
119.5784,31.9987,CN
110.3432,20.0486,CN
116.9969,32.6264,CN
102.7183,25.0389,CN
113.7266,34.7725,CN
120.0933,30.8703,CN
113.1117,28.1783,CN
112.4597,23.0512,CN
121.4012,31.0449,CN
104.0667,30.6667,CN
113.25,23.1167,CN
104.0667,30.6667,CN
126.65,45.75,CN
113.5325,34.6836,CN
106.7167,26.5833,CN
106.2731,38.4681,CN
111.9627,21.8556,CN
120.3719,36.0986,CN
106.7167,26.5833,CN
120.2875,31.5707,CN
113.7266,34.7725,CN
118.7778,32.0617,CN
113.7266,34.7725,CN
113.7266,34.7725,CN
113.7266,34.7725,CN
126.65,45.75,CN
113.7174,23.0308,CN
113.7266,34.7725,CN
118.7778,32.0617,CN
113.25,23.1167,CN
120.1619,30.294,CN
113.5325,34.6836,CN
117.0225,25.1072,CN
116.3889,39.9288,CN
104.0667,30.6667,CN
122.6667,41.25,CN
108.3146,22.8137,CN
119.4358,32.3972,CN
120.75,30.7522,CN
116.3889,39.9288,CN
113.1855,39.5591,CN
108.3146,22.8137,CN
123.4312,41.7806,CN
120.2875,31.5707,CN
118.7778,32.0617,CN
104.0667,30.6667,CN
113.25,23.1167,CN
113.7266,34.7725,CN
105,35,CN
120.3719,36.0986,CN
113.7266,34.7725,CN
115.9333,28.55,CN
117.0225,25.1072,CN
115.4903,38.8511,CN
113.7266,34.7725,CN
108.9294,34.2598,CN
120.1619,30.294,CN
104.0667,30.6667,CN
117.2865,31.8642,CN
121.6022,38.9122,CN
121.6022,38.9122,CN
110.8461,21.9392,CN
112.25,37.6667,CN
114.2665,30.5856,CN
117.6556,24.5133,CN
116.3889,39.9288,CN
123.4312,41.7806,CN
121.4012,31.0449,CN
123.765,41.2886,CN
121.5495,29.8782,CN
123.4312,41.7806,CN
87.6305,43.8073,CN
117.2865,31.8642,CN
121.4012,31.0449,CN
111.1814,34.7747,CN
113.5325,34.6836,CN
113.7266,34.7725,CN
119.4551,32.2109,CN
113.7266,34.7725,CN
106.6133,23.8997,CN
126.65,45.75,CN
113.5325,34.6836,CN
107.5167,26.2667,CN
106.2731,38.4681,CN
113.8535,27.6167,CN
112.25,37.6667,CN
106.5531,29.5569,CN
125.3228,43.88,CN
113.7266,34.7725,CN
114.2665,30.5856,CN
113.7266,34.7725,CN
118.5858,24.9139,CN
113.7266,34.7725,CN
113.1117,28.1783,CN
113.1111,29.1408,CN
113.5325,34.6836,CN
120.8747,32.0303,CN
112.4708,37.7269,CN
117.1726,39.1423,CN
112.2756,27.7286,CN
113.1117,28.1783,CN
113.5325,34.6836,CN
121.5495,29.8782,CN
91.1,29.65,CN
112.4708,37.7269,CN
113.7266,34.7725,CN
119.3061,26.0614,CN
114.1925,35.8992,CN
113.25,23.5,CN
121.4012,31.0449,CN
113.25,23.1167,CN
123.4312,41.7806,CN
114.4186,34.7442,CN
116.6947,39.5097,CN
113.5325,34.6836,CN
120.3719,36.0986,CN
110.3427,21.2815,CN
113.0833,22.5833,CN
113.25,23.1167,CN
120.3694,36.066,CN
118.7778,32.0617,CN
113.7266,34.7725,CN
118.7778,32.0617,CN
126.65,45.75,CN
120.3095,32.8523,CN
114.2665,30.5856,CN
120.1619,30.294,CN
118.5858,24.9139,CN
116.3889,39.9288,CN
113.5325,34.6836,CN
112.4536,34.6836,CN
114.2665,30.5856,CN
113.5325,34.6836,CN
113.7266,34.7725,CN
112.4708,37.7269,CN
111.9944,27.7344,CN
113.1117,28.1783,CN
111.6131,26.4239,CN
113.7266,34.7725,CN
114.0656,32.1228,CN
120.1619,30.294,CN
113.5325,34.6836,CN
112.4536,34.6836,CN
120.952,31.3835,CN
113.7266,34.7725,CN
113.2331,35.2397,CN
106.5531,29.5569,CN
111.2414,26.9659,CN
113.7266,34.7725,CN
120.1573,33.3575,CN
114.0656,32.1228,CN
115.6561,34.4143,CN
119.954,31.7736,CN
122.1136,37.5091,CN
119.954,31.7736,CN
113.7266,34.7725,CN
113.5325,34.6836,CN
114.2665,30.5856,CN
113.7266,34.7725,CN
113.7266,34.7725,CN
116.3889,39.9288,CN
119.954,31.7736,CN
113.5325,34.6836,CN
104.0667,30.6667,CN
118.0819,24.4798,CN
116.3889,39.9288,CN
118.0819,24.4798,CN
