sourceaddress,destinationaddress,destinationport,geocity,countrycode
"172.127.124.234","162.92.181.36","443","Staten Island","US"
"107.189.8.191","10.234.148.14","80","Cheyenne","US"
"61.219.11.151","162.92.128.207","443","Taipei","TW"
"68.48.15.90","162.92.181.77","443","Lake Orion","US"
"172.19.4.75","17.248.174.18","443","unknown","unknown"
"89.248.168.112","162.92.128.7","9080","UNKNOWN","NL"
"108.11.180.107","162.92.181.77","443","Newport News","US"
"47.206.166.200","162.92.181.77","443","Tampa","US"
"172.19.5.80","17.253.5.208","80","unknown","unknown"
"199.30.119.99","162.92.181.77","443","Springfield","US"
"89.248.168.112","162.92.128.31","9080","UNKNOWN","NL"
"23.210.209.49","10.234.20.17","443","UNKNOWN","US"
"185.173.35.25","162.92.128.72","7443","UNKNOWN","DE"
"73.85.65.166","162.92.181.77","443","Miami","US"
"172.20.15.156","17.253.4.253","123","unknown","unknown"
"172.19.5.163","17.248.174.14","443","unknown","unknown"
"172.20.12.21","20.42.65.90","443","unknown","unknown"
"76.107.195.110","162.92.181.77","443","Arlington","US"
"165.225.58.93","162.92.181.77","443","UNKNOWN","US"
"92.63.197.83","162.92.181.33","3403","UNKNOWN","RU"
"162.92.191.81","146.112.247.251","443","UNKNOWN","US"
"162.92.191.86","20.189.173.14","443","UNKNOWN","US"
"172.19.4.205","52.13.142.199","443","unknown","unknown"
"173.48.66.66","162.92.181.77","443","Waltham","US"
"185.173.35.17","162.92.128.151","2085","UNKNOWN","DE"
"172.19.5.221","44.240.180.223","443","unknown","unknown"
"162.92.191.82","54.86.154.154","443","UNKNOWN","US"
"162.92.191.87","142.250.204.110","443","UNKNOWN","US"
"117.158.62.74","162.92.128.106","29145","UNKNOWN","CN"
"92.63.197.83","162.92.128.179","3416","UNKNOWN","RU"
"35.242.149.15","162.92.128.187","139","Mountain View","US"
"23.198.5.155","10.194.8.128","443","UNKNOWN","US"
"23.213.54.181","10.242.124.84","443","Dallas","US"
"104.140.188.6","162.92.181.44","2323","Las Vegas","US"
"65.186.1.190","162.92.181.77","80","Springfield","US"
"199.122.115.140","162.92.181.77","443","Reston","US"
"23.204.146.78","10.245.8.76","443","UNKNOWN","US"
"162.92.191.88","104.114.77.27","80","UNKNOWN","US"
"181.117.236.6","162.92.181.77","443","Lanus","AR"
"162.92.191.88","20.189.173.9","443","UNKNOWN","US"
"71.190.181.88","162.92.181.77","443","Brooklyn","US"
"45.33.55.238","162.92.128.17","138","Fremont","US"
"147.182.187.200","162.92.181.68","138","UNKNOWN","US"
"172.19.5.203","40.90.133.99","443","unknown","unknown"
"23.210.209.63","10.234.21.27","443","UNKNOWN","US"
"172.20.17.68","20.42.65.88","443","unknown","unknown"
"107.115.41.9","162.92.181.77","443","UNKNOWN","US"
"172.19.5.31","162.92.181.57","8443","unknown","unknown"
"92.63.197.83","162.92.128.105","3390","UNKNOWN","RU"
"162.92.191.88","40.79.189.58","443","UNKNOWN","US"
"162.92.191.86","20.189.173.11","443","UNKNOWN","US"
"162.92.191.88","52.182.141.63","443","UNKNOWN","US"
"172.19.5.184","104.46.162.226","443","unknown","unknown"
"92.63.197.83","162.92.128.191","3392","UNKNOWN","RU"
"185.94.111.1","162.92.128.17","179","UNKNOWN","RU"
"73.62.94.106","162.92.181.77","80","UNKNOWN","US"
"92.118.160.9","162.92.128.112","8008","UNKNOWN","LT"
"92.63.197.83","162.92.128.26","3390","UNKNOWN","RU"
"172.19.4.14","44.240.137.127","443","unknown","unknown"
"172.58.63.18","162.92.181.77","443","Denver","US"
"108.24.140.113","162.92.181.77","443","Cherry Hill","US"
"92.63.197.83","162.92.128.154","3391","UNKNOWN","RU"
"162.92.191.84","40.79.197.34","443","UNKNOWN","US"
"178.7.129.78","162.92.181.77","443","Heilbronn","DE"
